Konu,Soru,Iyi_Cevap,Kotu_Cevap
Sosyoloji,"Simmel'e göre ""metalaşma""nın insan ilişkileri üzerindeki en önemli etkisi nedir?","Georg Simmel, modern kent yaşamında kişilerin araçsallaştırıldığını vurgular. Arkadaşlık bile işlevsel faydaya indirgenebilir. Ancak bu, derin bağların yok olduğu anlamına gelmez; yeni ilişki biçimleri doğar (örneğin gönüllü dernekler).",Metalaşma tüm insani duyguları ortadan kaldırarak robotlaştırmaya yol açar.
Sosyoloji,"Robert K. Merton'un ""sapma"" (deviance) teorisinde ""bozulmuş beklentiler"" (strain) nedir?","Bireyler toplumun öngördüğü meşru yollarla (çalışma, eğitim) hedeflerine ulaşamadığında yaşanan gerilimdir. Örneğin yoksul mahallede prestij için uyuşturucu ticareti, hedefe ulaşmanın bozuk yolu haline gelebilir.","Sapma, gençlerin ergenlik döneminde geçici olarak yaşadığı normal bir psikolojik süreçtir."
Sosyoloji,"Goffman'ın ""gündelik hayatta benliğin sunumu"" teorisinde ""arka plan"" (backstage) alanı nerede bulunur?","Rol yaptığımız sahnede (ön plan) izleyiciler önünde davranışlarımızı kontrol ederken, arka planda (ev, soyunma odası) maskeleri indirip roller arası geçiş yaparız. Burada otantik benliğimizle bağlantı kurarız.","Arka plan, rüyalar görülüp bilinçaltının keşfedildiği hipnotik trans hali ifade eder."
Tıp,İnsan vücudunda en büyük organ hangisidir?,"Cevap deridir. Deri yaklaşık 1.5-2 metrekare yüzölçümüne sahiptir, ağırlığının %16'sı kadar yağ depolar, ısı düzenlemesi, koruma ve duyusal fonksiyonlar sağlar.",Karaciğerdir. Çünkü çok ağır ve önemlidir.
Tıp,Grip (influenza) aşısı neden her yıl değişerek yenilenir?,"İnfluenza virüsü sürekli mutasyona uğrar (antijenik sürüklenme/kayma). Yeni aşı, dolaşımda olması beklenen baskın virüs suşlarına karşı geliştirilir; böylece bağışıklık sistemi etkin şekilde uyarılır.",Çünkü insanlar aşılara alışıyor ve artık işe yaramıyor. Virüsler insanlara öfkeleniyor.
Tıp,"Kan nakli sırasında hangi kan grubu ""evrensel alıcı"" olarak kabul edilir?","AB Rh pozitiftir. Hemoglobine sahip olmadığı için anti-A ve anti-B antikorlarını taşımaz, bu nedenle tüm kan gruplarındaki eritrositleri alabilir.","Hepsi aynıdır, fark etmez. Nakil yapılan kişinin grubuna göre değil, verenin grubuna göre karar verilir zaten."
Tıp,İnsülin hormonu ne zaman ve kim tarafından keşfedilmiştir?,"1921-1922 yıllarında Toronto Üniversitesi'nde Frederick Banting ve Charles Best (Leonard Thompson üzerinde test edildi), John Macleod'un laboratuvarında keşfedilmiştir. Diyabet tedavisinde devrim yaratmıştır.",Mısırlılar binlerce yıl önce bulmuştu. Tabletlerde yazıyor. Modern ilaç değil yani.
Tıp,Penicillium notatum nedir?,"Alexander Fleming tarafından 1928'de keşfedilen bir küf türüdür. Ürettiği penisilin maddesi, bakteriyel enfeksiyonlarda kullanılan ilk etkili antibiyotiğe dönüşmüştür.","Zehirli bir mantardır, yemekle karışınca öldürür. Penisilin onun zehrinden çıkarılmıştır."
Tıp,Kalp krizi (miyokard enfarktüsü) sırasında kalp kasını besleyen damar tıkanırsa ne olur?,"Tıkanan koroner arter bölgesindeki kalp kası hücreleri oksijensiz kalarak ölür (nekroz). Bu ölü doku, göğüs ağrısı (anjina), EKG değişiklikleri ve kalp yetmezliği ile sonuçlanabilir.",Kalp durur ve kişi anında ölür. Mutlaka ölüm demektir.
Tıp,"""Hib"" aşısı hangi hastalıklara karşı korur?","Kızamık, Kabakulak ve Kızamıkçık (Mumps, Rubella) hastalıklarına karşı kombinasyon aşısıdır. Özellikle kızamıkçığın doğum öncesi geçirilmesinin bebekte sakatlığa yol açmasını önlemek için kritiktir.","Hepatit, Boğmaca ve Tetanoz'a karşıdır. Hib zaten eskiden vardı, şimdi sadece diğerleri var sanırım."
Tıp,Yüksek tansiyon (hipertansiyon) için tipik yaşam tarzı önerileri nelerdir?,"Tuz alımının kısıtlanması (<5g/gün), işlenmiş gıda tüketiminin azaltılması, potasyumdan zengin beslenme (meyve/sebze), düzenli egzersiz, kilo kontrolü, alkol sınırlaması ve sigaranın bırakılması temel önerilerdir.","Sadece tuzu kesmek yeterlidir, spor falan gereksiz. Bol salamura yemek lazım, tansiyon düşer çünkü."
Tıp,SARS-CoV-2 varyantlarının takma adları (Omicron vb.) nasıl belirlenir?,"Dünya Sağlık Örgütü (WHO), virüsün spike proteinindeki genetik değişimlere göre isimlendirme yapar. Alfabetik sıra kullanılır (Delta → Omicron); tanımlanmış özellikler yerine nötralize edici antikordan kaçış gibi klinik önemi olan özelliklere odaklanır.","En güçlü olanına isim verilir, zayıf olanlar isimsiz kalır. Türkçe harfler kullanılarak rastgele konulur."
Tıp,"""Beyaz Yaka Hastalığı"" ne anlama gelir?","Stres, rekabetçi çalışma ortamı, uzun saatler ve hareketsizlik nedeniyle ortaya çıkan fiziksel ve psikolojik rahatsızlıkları ifade eder. Hipertansiyon, koroner arter hastalığı, mide ülseri ve depresyon daha sık görülür.",Doktorların giydiği beyaz kıyafetlerden dolayı yakalanan cilt hastalıklarıdır. Temizlik sorunudur.
Biyoloji,İnsan vücudundaki en küçük organ hangisidir ve ne işe yarar?,En küçük organ **tonsildir** (bademcik). Karkas duvarına gömülü olup bağışıklık sisteminde görev alır; patojenleri yakalayıp yok eder.,Gözbebeği! Işık geçiriyor diye organ sanılıyor.
Biyoloji,"DNA'daki dört nükleotid bazından biri olan ""T"", hangi organik bileşiğe karşılık gelir?","**Timin**. Sadece DNA'da bulunur, adenin ile eşleşir. RNA'da yerine urasil gelir.",Tiamin (B1 vitamini)! DNA'yla beslenme karıştırılıyor.
Biyoloji,Bitkilerde fotosentez için gerekli ana pigment nedir ve neden yeşil görünürler?,"**Klorofil a**. Mavi-kırmızı ışığı emerken yeşil ışığı yansıtır, bu yüzden bitkiler yeşilimsi görünür.",Karotenoidler! Aslında tüm renklerden sorumluymuş gibi düşünülmesi.
Biyoloji,Mitokondrinin hücredeki temel işlevi nedir?,**ATP sentezi** (hücresel solunum). Besinlerde depolanmış kimyasal enerjiyi hücrenin kullanabileceği enerjiye dönüştürür.,Protein üretmek! Ribozomların görevi unutuluyor.
Biyoloji,Kan dolaşımı için kritik öneme sahip kırmızı kan hücrelerinin üretim yeri neresidir?,"**Kemik iliği**, özellikle uzun kemiklerin içindeki süngerimsi yapı. Hemoglobin üretimi burada gerçekleşir.",Dalak! Gerçekte yıkım merkezi olmasına rağmen üretim yeri sanılması.
Biyoloji,Darwin’in evrim teorisindeki doğal seçilim mekanizmasının anahtar prensibi nedir?,**Çevreye daha uyumlu bireylerin hayatta kalıp üreme avantajı kazanması**. Zamanla popülasyonda bu özellikler artar.,Tüm canlıların birbirine benzemeye çabalaması! Teleolojik hata.
Biyoloji,İnsanda göz rengini belirleyen melanin türü ve dağılımı nasıl etkilenir?,**Eumelanin** (kahverengi/siyah) ve **feomelanin** (sarı/kırmızı) oranı. Göz irisindeki melanosit aktivitesi rengi belirler.,Retinanın kalınlığı! Görme keskinliği ile karıştırma hatası.
Biyoloji,Oksijensiz solunumun end ürünleri nelerdir?,**Laktik asit** (kaslarda) veya **etanol + CO₂** (mayada). Net ATP kazancı glikozdakinden düşüktür.,O₂ ve H₂O! Aerobik solunumun ürünlerini söylemek.
Biyoloji,Nörotransmitter örneği olarak asetilkolin hangi fizyolojik süreçte rol oynar?,**Sinir-kas iletişimi** (nöromüsküler kavşak). Kas kasılmasını başlatır.,Rüya görmeyi kontrol etmek! Dopaminle fonksiyon karışımı.
Biyoloji,Virüslerin canlı sayılmama sebebinde ortak kriter nedir?,"**Metabolizmaları yoktur**; kendiliğinden enerji üretip tüketemez, çoğalma için konağa bağımlıdır.",Boyutlarının çok küçüklüğü! Hücresel yapıdan yoksun olmalarına odaklanılmaması.
Felsefe,Epistemolojinin ana konusu nedir?,"Bilginin doğası, kaynağı, meşruiyeti ve sınırlarıyla ilgilenir. Şüphecilikten kesinliğe uzanan tartışmaları kapsar.",Nasıl bildiğimizi açıklamakla ilgilidir; örneğin suyun ıslaklığını bilim anlatır.
Felsefe,Sokrates’in ünlenmesine yol açan öğretisi nedir?,"""Hiçbir şey bilmiyorum"" sözüyle başlayan, kişinin cehaletinin farkına varmasının erdem olduğu ve diyalektik yöntemle hakikate ulaşılması gerektiğini savunmasıdır.",İnsanların gerçekten hiç kimseyi tanımadığını iddia etti; bu yüzden öldürüldü.
Felsefe,"Immanuel Kant'ın ""Saf Aklın Eleştirisi"" eserindeki temel tezi nedir?",Deneyimin önkoşullarını inceleyerek bilgimizin nasıl mümkün olduğunu araştırır; duyusallık ve anlama yetisinin nesnelere deneyim öncesinde koşul getirdiğini savunur.,Tüm insanlar eleştiri okuyarak akıllı olur.
Felsefe,"Friedrich Nietzsche'nin ""Tanrı öldü"" söyleminin anlamı nedir?",Geleneksel dini değerlerin ve ahlaki temellerinin çöküşüne işaret eder; insanın yeni değerler yaratma sorumluluğunu vurgular.,Tanrı'nın fiziksel olarak yok olduğunu kanıtladığı anlamına gelir.
Felsefe,"Aristoteles'in ""Nikomakhos'a Etik""te tanımladığı ""altın orta"" nedir?","Bir erdemin, zıttı iki aşırılık arasında bulunan makul karakter alışkanlığı olduğu ilkesidir; cesaret, korkaklık ile pervasızlık arasındadır.",Altın rengi giyinmenin ahlaki üstünlük sağlamasıdır.
Felsefe,"Platon'un idealar kuramında ""Mağara Alegorisi"" hangi fikri açıklar?","Duyular dünyasının gölgelerine tutsak insanların, ancak zorlu bir çıkış yoluyla gerçek formların (idealar) değişmez hakikatine ulaşabileceğini sembolize eder.",Mağaradaki mahkûmların güneş gözlükleri taktığı ve bu nedenle gölgeleri gördüğü gerçeğidir.
Felsefe,"Descartes'ın metodik şüphe yöntemi neden ""düşünüyorum öyleyse varım"" (Cogito ergo sum) sonucuna ulaşır?","Tüm duyusal algıları ve dış gerçekliği sistematik olarak şüpheye düşürmesine rağmen, şüphe etmenin bile düşünen bir ben'in varlığını kanıtladığı noktada durur.","Düşüncelerinin sürekli olarak ""öyleyse varım"" diye bitmesi nedeniyle vardığı sonuçtur."
Felsefe,Stoacılık felsefesinin merkezi önermesi nedir?,"Mutluluğa sadece erdemle ulaşılacağıdır; dış olaylar ve duygular değil, onlara verdiğimiz rasyonel tepkiler bizim kontrolümüzdedir ve asıl iyiliktir.",Taş gibi donuk yüz ifadesiyle dolaşmanın gerekli olmasıdır.
Felsefe,"Jean-Paul Sartre'ın varoluşçuluktaki ""kendini aşma"" (transandans) kavramı neyi ifade eder?","İnsanın özünün önceden belirlenmediğini, özgür seçimlerle kendini sürekli inşa ettiği ve bu süreçte otantik varlığa yöneldiği fikridir.",Kendisinin tanrısal olmadığını kabul etmesidir.
Felsefe,"Karl Marx'ın ""üretim ilişkileri"" terimiyle kastettiği nedir?",Belirli bir üretim tarzındaki sınıfların birbirleriyle olan ekonomik bağımlılıklarını ve çatışma dinamiklerini tanımlayan yapıdır; ideolojik sistemlerden bağımsız olarak maddi koşulları merkeze alır.,Fabrikalardaki makineler arasındaki iletişim ağıdır.
Mimari,"Dünyanın Yedi Harikası arasında kabul edilen, antik dönemde Mısır'da inşa edilmiş ve hâlâ ayakta olan tek yapı hangisidir?","Giza Piramitleri'ndeki Büyük Sfenks'tir. Antik Mısır Firavunu Khufu için yapılan Büyük Piramit, Dünya'nın Yedi Harikası'ndan günümüze ulaşan tek anıttır. Yaklaşık MÖ 2560 yılında tamamlanmıştır.",Stonehenge'dir çünkü taşları gizemlidir.
Mimari,Michelangelo tarafından tasarlanan ve Floransa Katedrali'nin üzerini kapatan dev kubbe hangisidir?,Santa Maria del Fiore Katedrali'nin ana kubbesidir. Brunelleschi tarafından inşa edilmiştir (Michelangelo ölmeden önce tasarımını tamamlamıştı). Rönesans mühendisliğinin şaheserlerindendir.,"Pisa Kulesi'dir, çünkü eğik olmasıyla ünlüdür."
Mimari,"Frank Lloyd Wright'ın en ünlü eserlerinden biri olan, doğal ortamla bütünleşen ve organik mimari kavramını somutlaştıran yapı hangisidir?","Fallingwater (Kaufmann Beniz Evi)'dır. Pennsylvania'daki bir şelalenin üzerine inşa edilen ev, doğayla uyumu simgeler.","Empire State Binası'dır, çünkü gökdelenlerin ilk örneğidir."
Mimari,"Akropolis Tepesi'nde bulunan, Atina'nın koruyucu tanrıçası Athena'ya adanmış antik Yunan tapınağı hangisidir?","Parthenon'dur. Dor düzeninde klasik bir tapınaktır, üzerinde Fidias tarafından heykeller yapılmıştır.","Zeus Sunağı'dır, çünkü Olimpiyat Oyunları burada düzenlenirdi."
Mimari,"Antoni Gaudí'nin Barselona'da inşa ettiği, bitkisel formlarla süslü ve bitmemiş durumdaki sembolik kilise hangisidir?","Sagrada Família'dır. Modernist mimarinin benzersiz örneğidir, inşası devam etmektedir.","Casa Batlló'dur, çünkü deniz canavarlarını andıran cephesi vardır."
Mimari,"Le Corbusier'nin ""Ville Radieuse"" (Işıltılı Şehir) konseptinin prototipini oluşturan, betonarme brise-soleil perdeleriyle karakterize edilen konut projesi hangisidir?","Unité d'Habitation (Yaşam Birimi), Marsilya'dadır. Modüler sosyal konut kompleksidir.","Sydney Opera Binası'dır, çünkü yelkenlere benzer formu vardır."
Mimari,Brunelleschi'nin tasarladığı ve Floransa'da çökmesini önlemek için inşa ettiği destek sistemi neydi?,Santa Maria del Fiore Katedrali'nin çatısındaki kubbenin kalıcı destek sistemidir (kirke). Geometrik yeniliklerle yapıldı.,Roma Kolezyumu'nun çevresindeki duvarlardır.
Mimari,"Mies van der Rohe'nin ""az çoktur"" felsefesini yansıtan, minimalizm ve açık planıyla ikonik hale gelen New York müzesi hangisidir?",Seagram Binası değildir; Solomon R. Guggenheim Müzesi'dir. Sarmal rampalı dairesel formuyla ünlüdür.,"Vanna Venturi Evi'dir, çünkü geleneksel Amerikan evlerini yeniden yorumlar."
Mimari,"Zaha Hadid'in ""akışkan"" form ve parametrek mimari anlayışıyla tasarladığı, Avusturya'da bulunan kültürel merkez hangisidir?",Heydar Aliyev Kültür Merkezi'dir (Bakü). Organik kıvrımlarıyla tanınır.,"Bilbao Guggenheim Müzesi'dir, çünkü titanyum cephesi vardır."
Mimari,"Norman Foster'ın Londra'da tasarladığı, çelik kafes yapısı ve güneş kırıcılarıyla enerji verimliliğini öne çıkaran havaalanı hangisidir?",Londra Stansted Havalimanı'dır. Geniş açıklıklı çatı ve sürdürülebilir malzemeleriyle bilinir.,"Dubai Uluslararası Havalimanı'dır, çünkü dünyanın en büyüklerindendir."
Kimya,Saf suyun kimyasal formülü nedir?,H₂O'dur. İki hidrojen atomu ve bir oksijen atomundan oluşan basit bir bileşiktir. Dünya üzerindeki yaşamın temel yapı taşıdır.,XO₃ gibi bir şeydir. Ya da belki O₂H şeklindedir. Emin değilim.
Kimya,Dünyanın en ağır elementi hangisidir?,"Plütonyumdur (atom numarası 94). Doğada eser miktarda bulunur, çoğunlukla nükleer reaktörlerde üretilir. Radyoaktiftir ve yüksek kütle/numara oranıyla bilinir.",Altındır çünkü altın parlak ve değerlidir. Kurşun da ağırdır ama altın daha ünlüdür.
Kimya,Karbonat minerali ile kabartma tozunun asıl aktif maddesi aynı mıdır?,"Evet, sodyum bikarbonattır (NaHCO₃). Kabartma tozu genellikle bunun yanı sıra bir asit tuzu içerir, karbonat ise saf formudur.","Hayır, biri sirke diğeri soda gibidir. Tamamen farklı şeyler."
Kimya,Çay veya kahveye limon sıkmanın nedeni neyle ilgilidir?,"Tanen adı verilen polifenollerin parçalanmasıyla ilişkilidir. Limonun asidi (sitrik asit), tanenlerle reaksiyona girerek bulanıklığı önleyen kompleksler oluşturur.",Limondaki şeker çaydaki acılığı dengeler. Asidik olduğu için renk koyulaşmasını sağlar.
Kimya,Sirkedeki asitin kimyasal adı nedir?,"Asetik asittir (CH₃COOH). Organik bir asit olup, yiyecek ve temizlikte kullanılır. pH değeri yaklaşık 2.5-3 arasındadır.","Sitrik asittir, limon suyunda vardır. Yoksa asetilen miydi? Kesin değil."
Kimya,Kalsiyum karbonat doğal olarak nerelerde bulunur?,"Kireçtaşı, mermer ve tebeşir taşında bolca bulunur. Kabuklu deniz hayvanlarının iskeletlerinde (örn. mercan) da biyolojik kaynaktır.",Sadece kemiklerde var. Bebek tebeşiri falan karıştırıyorum.
Kimya,Polimerler günlük hayatta nerede karşımıza çıkar?,"Plastik şişeler, polyester kumaşlar, strafor köpükler ve Teflon tavalardır. Monomer birimlerin tekrarlayan bağlanmasıyla oluşurlar.","Şeker kamışı, tahta parçası gibi doğal şeyler sanırım. Ya da boya molekülleri."
Kimya,Tuz ruhunun ana bileşeni nedir?,Sodyum klorürdür (NaCl). Sofra tuzu olarak bilinir. Yemeklere lezzet katmanın yanı sıra yol buzdağlarını eritmede kullanılır.,Potasyum klorür müydü? Yosun tozu falan karıştırdım. Tuz zaten sadece kaya tuzu.
Kimya,Fotosentez sırasında açığa çıkan gaz hangisidir?,Oksijen gazıdır (O₂). Bitkiler suyu (H₂O) güneş ışığıyla parçalayarak oksijeni atmosfere verir ve glikoz üretir.,"Karbondioksittir (CO₂) çünkü bitkiler onu tüketir. Yok, o fotosentezle *giren* gaz. Kafam karıştı."
Kimya,Camın temel kimyasal bileşenleri nelerdir?,"Silika (SiO₂), soda külü (sodyum karbonat, Na₂CO₃) ve kireçten (kalsiyum karbonat, CaCO₃) oluşur. Eritilerek şekillendirilir ve soğutulduğunda sertleşir.",Kum + cam kırığı + boya. Hepsi doğrudan karışımından yapılır. Kil de vardır belki.
Psikoloji,**İlk psikoloji laboratuvarını kim kurmuştur?**,"Alman psikolog **Wilhelm Wundt**, 1879 yılında Leipzig'te ilk deneysel psikoloji laboratuvarını kurdu. Bu olay, psikolojinin bağımsız bir bilim dalı olarak doğuşu kabul edilir.","Tabii ki **Newton!** Fizik ve yerçekimiyle uğraşıyordu zaten, biraz da ruhu incelesin diye kurmuştur laboratuvarı."
Psikoloji,"**""Beynimizin sadece %10'unu kullanıyoruz"" iddiasına karşı ne söylenir?**","Bu iddia **tamamen yanlıştır**. Nörobilim çalışmaları, beyin görüntüleme teknikleriyle (fMRI vb.) beynin farklı bölgelerinin sürekli aktif olduğunu gösteriyor. Beynin hiç kullanılmayan bir bölgesi yoktur; bazı aktiviteler dinlenme anlarında düşük olsa bile, fonksiyonel bağlantılar hep mevcuttur.","Aslında doğru, çünkü ben sabahları kafam o kadar dolu ki geri kalan %90’ı uyuşuyor olmalı!"
Psikoloji,**Klasik koşullanmanın temsilcisi kimdir?**,"**Ivan Pavlov**, köpekler üzerinde yaptığı deneylerle klasik koşullanmayı keşfetti. Zil sesine (nötr uyaran) defalarca yemek verilmesi sonucu köpeğin zil sesine salya akıtması (koşullu tepki), öğrenmenin mekanizmasını ortaya koydu.","Elbette **Sigmund Freud!** Hayvanlar üzerine değil, insanların bilinçaltındaki korkuları üzerinden yapmıştır bu çalışmayı."
Psikoloji,"**Depresyon tedavisinde kullanılan ""Işık Terapisi"" hangi bozuklukta etkilidir?**","**Mevsimsel Duygudurum Bozukluğu (MDB)**’nda kullanılır. Sabah saatlerinde yapay parlak ışığa maruz kalmak, sirkadiyen ritmi düzenleyerek melatonin üretimini baskılar ve depresif semptomları hafifletir.",Karanlık odada otururken gözlerini kapatıp pozitif düşünmek için iyidir bence! Güneş enerjisi falan yüklenir insana.
Psikoloji,"**""Plasebo Etkisi"" nedir?**","Gerçek bir farmakolojik etken içermeyen (şeker hapı gibi) tedaviye inanılan hastalarda görülen **fizyolojik veya psikolojik iyileşme**dir. Beklenti ve inanç mekanizmalarıyla ağrı azalması, semptomlarda düzelme gibi sonuçlar doğurabilir.",Hastanın sadece para ödeyip ilaç almadığı zaman oluyor. Doktor plasebo diyince hasta kendini kandırıyor yani.
Psikoloji,"**Freudian ""Savunma Mekanizmaları""ndan biri hangisidir?**","**Bastırma (Represyon)**, psikanalitik teoriye göre rahatsız edici düşünce veya duyguların bilinçdışına itilmesidir. Örneğin, travmatik bir anının unutulması veya bastırılmasıdır.",Kişiyi rahatsız eden şeyleri sürekli tekrar tekrar düşünmek galiba? Bastırma öyle bir şeydi sanırım.
Psikoloji,**Olumlu pekiştirme ile ceza arasındaki fark nedir?**,"**Olumlu pekiştirme**: İstenen davranışı takip eden **ödülün verilmesi** (Örn: Çalışkan çocuğa oyuncak almak). **Ceza**: İstenmeyen davranışın ardından **hoşa gitmeyen bir uyaranın eklenmesi** (Örn: Oyun oynayan çocuğa uyarı yapmak). Pekiştirme davranışı artırırken, ceza azaltmayı hedefler.","Cezayı vermek mi yoksa şeker vermek mi? Farketmez, ikisi de aynı kapıya çıkar: çocuk şaşırır ve davranışı durdurur!"
Psikoloji,"**Piaget'nin Bilişsel Gelişim Kuramı'ndaki aşamalardan biri ""İşlem Öncesi Dönem""dir. Bu dönemde çocuklar neden suyun ağırlığını anlamaz?**","Piaget'ye göre ""**somut işlemler dönemine** geçene dek (7 yaş civarı) çocuklar **egosantrizm** ve **konservasyon eksikliği** yaşar. Bir kaptaki su miktarı değişmese de şekil değiştirdiğinde (""su büyüdü!"") ""**konservasyon ilkesi**ni"" kuramazlar.","Çünkü plastik bardaklar suyu şişiriyor, cam bardaklar küçültüyor! Mantıklı değil mi?"
Psikoloji,**Bilişsel çarpıtmalar nelerdir? Erdebil örneği veriniz.**,"Zihnin sistematik hatalarla bilgi işleme eğilimidir. **Sebep-Sonuç İlişkilendirme (Post Hoc)** çarpıtması: ""Dün kedi geldi, sonra bilgisayarım bozuldu, demek kediler bilgisayarı bozar!"" şeklinde mantıksız nedensellik kurmaktır.","Karamsar insanlar sürekli kötü şeyler düşünür işte! Mesela güne güneşsiz başladığında ""Demek bugün berbat geçecek!"" diye varsayarlar."
Psikoloji,**Maslow'un İhtiyaçlar Hiyerarşisi'nde en üstteki ihtiyaç nedir?**,"Piramidin tepe noktasındaki **Kendini Gerçekleştirme** ihtiyacıdır. Burada kişi potansiyelini tam olarak ortaya çıkarmayı, yaratıcılığını kullanmayı ve ""olabileceği kişi olma"" hedefler.",Para kazanmak tabii ki! Para olmazsa diğer hiçbir ihtiyacı gideremezsin zaten. En tepede o durur.
Astronomi,Güneş Sistemi'mizdeki en büyük gezegen hangisidir?,"Jüpiter, çapı yaklaşık 142.984 km (Dünya'nın ~11 katı), kütlesi ise ~318 Dünya kütlesiyle sistemin en ağırdır. Gaz devi sınıfındadır.","Venüs'tür, çünkü bulutlarıyla çok parlak görünür."
Astronomi,Ay'ın Dünya'dan hep aynı yüzünü görmemizin nedeni nedir?,"Eşzamanlı dönüş (tidal locking). Ay'ın kendi ekseni etrafındaki dönüş süresiyle Dünya çevresindeki yörünge süresi aynıdır (~27.3 gün), bu yüzden tek bir yüzü bize dönük kalır.",Ay'ın diğer tarafında insanların inşa ettiği dev şehirler vardır; onları görmek istemeyiz.
Astronomi,Hubble Uzay Teleskobu ne zaman fırlatıldı?,24 Nisan 1990 tarihinde NASA'nın Uzay Mekiği Discovery tarafından başarıyla uzaya yerleştirildi.,"Geçen yıl Mars'a gönderdik, henüz orada değil."
Astronomi,Kara delikler nasıl tespit edilir?,"Doğrudan gözlemlenemezler ancak çevrelerindeki madde üzerindeki güçlü çekim etkileriyle anlaşılırlar: Yıldızların hareketi (Sagittarius A*), yakın yıldızlardan gelen ışığın bükülmesi (kütleçekim merceklemesi) ve gelgit kuvvetlerinin yüksek enerjili radyasyon yaydırması (kuasarlar).",Özel algılayıcılarla kara renkli oldukları için uzaydaki siyahlıkları görüyoruz.
Astronomi,Mars'ta su var mıdır?,"Geçmişte sıvı su kanıtları (kurumuş nehir yatakları, mineral izleri) ve hala kutuplarda donmuş CO₂ buzulları ile yeraltında tuzlu su akiferleri bulunduğu düşünülüyor. Curiosity rover'ı yeraltı suyunun geçmişte var olduğunu teyit etti.","Hayır, tamamen kuru bir çöl gezegenidir; belki bazı astronotlar gizlice bira getirmiştir."
Astronomi,Samanyolu Galaksisi kaç yaşında?,Yaklaşık 13.5 ila 14 milyar yaşındadır. En eski yıldızlarından yapılan analizlerle galaksinin oluşumundan beri geçen süre tahmin edilmektedir.,"Sadece birkaç milyon yıl, yeni oluştu."
Astronomi,Plüton neden artık gezegen sayılmıyor?,"Uluslararası Astronomi Birliği'nin (IAU) 2006'daki tanımına göre, Plüton ""komşuluk bölgesini temizlememiştir"" – yörüngesinde kendinden büyük başka cisimler vardır. Kuiper Kuşağı cüce gezegeni kategorisine alındı.","Çok küçük olduğu ve yalnız hissettiği için üzülmüş, geri çekilmeyi tercih etmiş."
Astronomi,Süpernova patlaması ne demektir?,Büyük kütleli bir yıldızın nükleer yakıtını tükettikten sonra kütleçekimi altında çökmesi ve şiddetli bir patlamayla elementleri (demirden altın'a kadar) uzaya saçmasıdır. Evrende ağır elementlerin kaynağıdır.,Uzayda kaybolan bir süpermarket kasasıdır.
Astronomi,Dünya'nın uydusu dışında doğal uydusu olan başka hangi gezegen var?,"Hemen hepsinin uyduları vardır: Jüpiter'in 95+ (Ganymede, Europa), Satürn'ün 146+ (Titan), Uranüs'ün 27, Neptün'ün 14 doğal uydusu bulunmaktadır.","Sadece Merkür ve Venüs'ün uydusu yok, onlar çıplak gezegendir."
Astronomi,Karanlık madde evrendeki toplam madde içeriğinin ne kadarını oluşturur?,"Gözlemlenebilir baryonik maddenin (~%5) çok ötesindedir. Kütleçekim etkileri ve kozmik mikrodalga arkaplan ölçümleri, karanlık maddenin evrenin toplam enerji-madde içeriğinin ~%27'sini, karanlık enerjinin ise ~%68'ini oluşturduğunu gösteriyor.","Sanırım %100'dür, biz onu ""görünmeyen şeyler"" diye biliriz."
Yapay Zeka,İlk modern yapay sinir ağını geliştiren algoritma hangisidir?,"Frank Rosenblatt tarafından 1958'de geliştirilen Perceptron'dur. Bu algoritma, biyolojik nöronları taklit eden ve basit öğrenme yeteneği olan ilk uyarlanabilir elektronik sistemdir. Temel olarak bir giriş katmanı, bir çıkış katmanı ve bunları bağlayan ağırlıklarla çalışan tek bir ""nöron""dan oluşur.",Derin Öğrenmedir.
Yapay Zeka,Büyük Dil Modelleri (LLM) hangi temel teknolojiye dayanır?,"Transformers mimarisine dayanan LLM'ler, metin verilerindeki istatistiksel ilişkileri masif ölçekte öğrenebilen derin öğrenme modelleridir. Dikkat mekanizması sayesinde uzun mesafeli bağımlılıkları modelleyebilir, bağlamsal anlama gücü yüksektir. ChatGPT veya Gemini gibi araçların temelidir.",Evrişimli Sinir Ağları (CNN) teknolojisine dayanır.
Yapay Zeka,"Makine Öğrenmesinde ""Denetimsiz Öğrenme""nin temel amacı nedir?","Verideki gizli yapıları veya grupları (kümeleri), önceden tanımlanmış etiketler olmadan keşfetmektir. Benzer özellikleri paylaşan verileri gruplamak (kümeleme), boyut indirgeme veya anomali tespiti gibi görevleri içerir. Hedef, verinin doğal organizasyonunu ortaya çıkarmaktır.",Etiketlenmiş verileri kullanarak çıktı değerlerini tahmin etmektir; sınıflandırma veya regresyon problemleridir.
Yapay Zeka,Generative AI (Üretken Yapay Zeka) ne tür içerikler oluşturabilir?,"Metin (hikayeler, kod), görseller (sanat eserleri), müzik, ses sentezi ve hatta video üretebilir. Diffusion modelleri (görsel), GPT benzeri dil modelleri (metin) ve sentetik veri oluşturucular başlıca yöntemlerdir. Yaratıcılığı desteklemek veya prototip oluşturmak için kullanılır.",Sadece matematiksel hesaplamalar yapabilir; rapor analizi veya finansal projeksiyonlar gibi nicel sonuçlar üretir.
