question,answer
Jim bir bisiklet dükkânı açmaya karar verir.  En sık yaptığı tamirat bisiklet lastiklerini tamir etmektir.  Bunun için 20 dolar ücret alıyor ve parçaların maliyeti 5 dolar.  Jim bir ay içinde bu tamiratlardan 300 tane yapar.  Ayrıca her biri 300$ ve parça maliyeti 50$ olan 2 karmaşık onarım daha yapar.  Ayrıca perakende satış mağazasından 2000 dolar değerinde ürün satıyor.  Dükkanın kira ve diğer sabit giderleri ayda 4000$ ise dükkan ne kadar kar etmiştir?,"Jim'in aylık karını hesaplamak için çeşitli gelir ve gider kalemlerini değerlendirmemiz gerekiyor.

Tamiratlardan elde edilen gelir:
- Bisiklet lastiği tamiri: 300 tamirat x 20 dolar = 6000 dolar
- Karmaşık onarımlar: 2 onarım x 300 dolar = 600 dolar
- Perakende satış mağazası: 2000 dolar

Tamiratlardan kaynaklanan giderler:
- Bisiklet lastiği tamiri parçaları: 300 tamirat x 5 dolar = 1500 dolar
- Karmaşık onarımlar parçaları: 2 onarım x 50 dolar = 100 dolar
- Sabit giderler: 4000 dolar

Toplam gelir:
6000 dolar (lastik tamiratı) + 600 dolar (karmaşık onarımlar) + 2000 dolar (perakende satış) = 8600 dolar

Toplam gider:
1500 dolar (lastik tamiratı parçaları) + 100 dolar (karmaşık onarımlar parçaları) + 4000 dolar (sabit giderler) = 5600 dolar

Kar:
Toplam gelir - Toplam gider = 8600 dolar - 5600 dolar = 3000 dolar

Sonuç olarak, Jim'in dükkanı ay sonunda 3000 dolar kar etmiştir."
"Bir temizlik şirketi iki dezenfektan sprey üretir. Spreylerden biri mikropların %50'sini, diğeri ise mikropların %25'ini öldürüyor. Ancak, öldürdükleri mikropların %5'i aynı mikroplardır. Her iki dezenfektan spreyi birlikte kullandıktan sonra geriye yüzde kaç mikrop kalır?","Her iki dezenfektan spreyi birlikte kullanıldığında, toplamda öldürülen mikropların yüzdesini hesaplamak için önce mikropların yüzde kaçının öldüğünü bulalım ve sonra geriye kalan mikropların yüzdesini hesaplayalım.

1. Dezenfektan 1 mikropların %50'sini öldürüyor.
2. Dezenfektan 2 mikropların %25'ini öldürüyor.
3. Bu dezenfektanların öldürdüğü mikropların %5'i aynıdır. Bu nedenle %50 + %25 - %5 = %70 mikrobu öldürüyorlar.

Geriye kalan mikropların yüzdesi:
100% - 70% = 30%

Bu durumda, her iki dezenfektan spreyi birlikte kullandıktan sonra geriye %30 mikrop kalır."
"Mevcut büyüme hızıyla, belirli bir bitki bir yıl sonra 80 feet boyunda olacaktır. Eğer bitki her ay aynı oranda büyüyorsa ve şu anda 20 feet boyundaysa, feet cinsinden aylık büyüme oranı nedir?","Bitki şu anda 20 feet boyunda ve bir yıl sonra 80 feet boyunda olacaksa, bir yıl 12 ay olduğu için, bitki 12 ayda 60 feet büyümüş demektir.

Aylık büyüme oranı:
\[ \frac{60 \text{ feet}}{12 \text{ ay}} = 5 \text{ feet/ay} \]

Yani bitkinin aylık büyüme oranı 5 feet'tir."
"Hobi mağazası normalde ayda 21.122 ticari kart satmaktadır. Haziran ayında hobi mağazası normalden 3.922 adet daha fazla kart satmıştır. Eğer hobi mağazası Temmuz ayında normal sayıda kart sattıysa, Haziran ve Temmuz aylarının toplamında kaç kart satmıştır?","Haziran ayında satılan kart sayısı 21.122 + 3.922 = 25.044'tür. Temmuz ayında normal sayıda, yani 21.122 kart satılmıştır. Haziran ve Temmuz aylarındaki toplam kart satışı:

25.044 + 21.122 = 46.166 karttır."
Tommy'nin kalem kutusunda 13 kalem var. Kalemler kalemlerin iki katı ve bir tane de silgi var. Kaç tane kalem var?,"Tommy'nin kalem kutusunda 13 tane kalem var. Bu durumda, kalem sayısı doğrudan 13'tür."
"Susie bir pizza dükkanı açar. Dilim başına 3 dolar ve bütün pizza için 15 dolar alıyor. Eğer 24 dilim pizza ve 3 bütün pizza satabildiyse, ne kadar para kazanmıştır?","Susie 24 dilim pizza satarsa, her dilim 3 dolardan toplam 24 * 3 = 72 dolar kazanır.

Susie 3 bütün pizza satarsa, her biri 15 dolardan toplam 3 * 15 = 45 dolar kazanır.

Toplam kazanç: 72 + 45 = 117 dolar."
Mark evsizler için para topluyor.  Beş gün boyunca günde 20 haneyi ziyaret ediyor ve bu hanelerin yarısı ona bir çift 20'lik veriyor.  Ne kadar para topladı?,"Mark, beş gün boyunca her gün 10 adet 20'lik banknot topluyor çünkü her gün 20 haneyi ziyaret ediyor ve bu hanelerin yarısı ona para veriyor.

Her gün topladığı para:
10 banknot * 20 TL = 200 TL

Beş gün boyunca topladığı toplam para:
200 TL * 5 gün = 1000 TL

Mark toplamda 1000 TL topladı."
"Gloria'nın mezuniyet parasında çeyrekliklerin beş katı kadar on sent vardır. Çeyrekliklerin 2/5'ini ileride kullanmak üzere bir kenara koymaya karar verir. Eğer 350 on senti varsa, çeyrekliklerin 2/5'ini kenara koyduktan sonra sahip olduğu çeyreklik ve on sentlerin toplam sayısını hesaplayın?","Öncelikle Gloria'nın kaç çeyreklik ve on senti olduğunu bulalım.

On sentlerin sayısı verildiği gibi 350’dir. Çeyrekliklerin sayısının beş katı kadar on sent olduğuna göre, çeyreklik sayısını \( x \) olarak ifade edersek:
\[ 5x = 350 \]
Bu durumda:
\[ x = 70 \]

Gloria'nın 70 çeyreklik parası olduğunu bulduk. Çeyrekliklerin 2/5’ini bir kenara koymayı planladığına göre, bu çeyrekliklerin miktarı:
\[ \frac{2}{5} \times 70 = 28 \]

Geriye kalan çeyrekliklerin miktarı:
\[ 70 - 28 = 42 \]

Toplam paralarının sayısını bulmak için geri kalan çeyreklikler ve on sentlerin toplamını hesaplayalım:
\[ 42 + 350 = 392 \]

Gloria, çeyrekliklerin 2/5'ini kenara koyduktan sonra toplam 392 paraya sahiptir."
"Katherine'in doldurması gereken 5 asma sepeti var.  Her sepete 3 petunya ve 2 tatlı patates sarmaşığı eklemek istiyor.  Petunyaların tanesi 3,00$ ve tatlı patates sarmaşıklarının tanesi 2,50$'dır.  Tüm 5 asma sepeti doldurmak için ne kadar harcayacaktır?","Katherine'in tüm 5 asma sepetini doldurmak için harcayacağı toplam miktar 5 asma sepet x [(3 petunya x 3,00$) + (2 tatlı patates sarmaşığı x 2,50$)] şeklinde hesaplanır.

Her sepet için: (3 petunya x 3,00$) + (2 tatlı patates sarmaşığı x 2,50$)
= 9,00$ + 5,00$
= 14,00$

5 asma sepet için toplam: 5 x 14,00$ = 70,00$

Katherine, tüm 5 asma sepeti doldurmak için 70,00$ harcayacaktır."
Memur Hopps'un Mayıs ayında 200 ceza kesmesi gerekiyor. İlk 15 gün günde ortalama 8 ceza kesiyor. Gerekli hedefe ulaşması için ayın geri kalanında her gün ortalama kaç ceza kesmesi gerekir?,"İlk 15 gün boyunca kesilen toplam ceza sayısı 15 gün × 8 ceza/gün = 120 ceza.
200 cezaya ulaşmak için eksik olan ceza sayısı 200 - 120 = 80 ceza.

30 gün - 15 gün = 15 gün kaldığına göre, günlük kesilmesi gereken ceza sayısı 80 ceza / 15 gün = 5 ceza/gün.

Yani, ayın geri kalanında her gün ortalama 5 ceza kesmesi gerekir."
"Harry arkadaşının doğum günü partisi için balon almaya karar verir. Bir balonun fiyatı 0,5 dolardır ve 10 balonluk bir paket daha ucuzdur ve sadece 3 dolardır. Son olarak, Harry partiye tam 14 balon getirmek ister. Onlar için ne kadar ödemesi gerekir?","Harry 10 balonluk bir paket ve 4 tek balon almalıdır.

10 balonluk paket: 3 dolar
4 tek balon: 4 * 0,5 = 2 dolar

Toplam ödeme: 3 + 2 = 5 dolar.

Harry toplamda 5 dolar ödeyecektir."
"Tony 1 yıl boyunca bir tasarruf hesabına 1.000 dolar yatırır. 20 faiz kazanır. Daha sonra yeni bir televizyon almak için paranın yarısını çeker. Bir sonraki yıl, kalan para %15 faiz kazanır. Şu anda hesapta ne kadar var?","İlk yıl Tony’nin tasarruf hesabında 1.000 dolar + 20 dolar faiz bulunmaktadır, yani 1.020 dolar.

Daha sonra Tony, bu paranın yarısını çeker:
1.020 / 2 = 510 dolar çekilir ve hesapta 510 dolar kalır.

İkinci yıl boyunca bu 510 dolar %15 faiz kazanır:
510 x 0.15 = 76.5 dolar faiz.

Sonuçta Tony'nin hesabında:
510 + 76.5 = 586.5 dolar olur."
Emma'nın banka hesabında 100 dolar vardır. Haftanın her günü 8 dolar harcıyor. Haftanın sonunda bankaya gidiyor ve hesabının ona verebileceği kadar 5 dolarlık banknot istiyor. Geri kalanını hesapta bırakıyor. Hesapta kaç dolar kalmıştır?,"Emma haftanın her günü 8 dolar harcıyor; bu, haftada toplam 7 gün × 8 dolar/gün = 56 dolar harcanması demektir. Haftanın başında hesabında 100 dolar vardı. 56 dolar harcadıktan sonra, hesabında 100 dolar - 56 dolar = 44 dolar kalır. 5 dolarlık banknot olarak alabildiği maksimum tutar 44 dolar ÷ 5 dolar = 8 banknot × 5 dolar = 40 dolar eder. Bu durumda hesabında 44 dolar - 40 dolar = 4 dolar kalır."
"Jay ve Gloria evlerinde bir 4 Temmuz partisi düzenliyorlardı.  Jay 22 kişiyi, Gloria ise 36 kişiyi davet etmişti.  Herkes için küçük Amerikan bayrakları almak istediler.  El sanatları mağazasında küçük bayraklarda indirim vardı, 5 bayrak 1.00 dolara satılıyordu.  Eğer tüm misafirlerinin birer bayrağı olmasını isteselerdi ve ayrıca her biri için 1 bayrak isteselerdi, el sanatları mağazasında ne kadar harcarlardı?","Jay ve Gloria toplamda 22 + 36 = 58 kişiyi davet ettiler ve kendileri için de 2 bayrak eklediklerinde toplamda 60 bayrağa ihtiyaçları var.

5 bayrak 1.00 dolara satıldığı için 60 bayrağın maliyetini hesaplıyoruz:
60 bayrak / 5 bayrak = 12 paket

12 paket * 1.00 dolar = 12.00 dolar

Bu nedenle, el sanatları mağazasında toplam 12.00 dolar harcarlar."
"Deandre geçen Pazartesi 3 ton balığı yakaladı, yakaladığı ilk ton balığının ağırlığı 56 kilogram, ikinci ton balığının ağırlığı 46 kilogram ve son yakaladığı ton balığının ağırlığı 26 kilogramdı. Eğer bir kilogram ton balığı 0,50$ ise, tüm ton balıklarını markete sattıktan sonra ne kadar kazanacaktır?","Deandre'nin yakaladığı ton balıklarının toplam ağırlığı:
56 kg + 46 kg + 26 kg = 128 kg

Eğer bir kilogram ton balığı 0,50$ ise, 128 kilogram ton balığı için kazanacağı miktar:
128 kg * 0,50$ = 64$

Dolayısıyla, Deandre markette ton balıklarını sattıktan sonra 64$ kazanacaktır."
"Michael takım elbisesini 430$'a ve ayakkabılarını 190$'a satın alıyor. Peki, 100$ indirim alırsa, satıcıya ödediği miktar ne olur?","Michael toplamda 430$ + 190$ = 620$ harcar. 100$ indirim aldığında, ödediği miktar 620$ - 100$ = 520$ olur."
"Bir kalemin tanesi 0,5$ ve bir klasörün tanesi 0,9$'dır. Bir ofisin iki düzine kaleme ve 20 adet klasöre ihtiyacı vardır. Ofis malzemelerini satın almak ne kadara mal olur?","İki düzine kalem 24 tanedir.

Kalemlerin toplam maliyeti: 24 kalem x 0,5$ = 12$

Klasörlerin toplam maliyeti: 20 klasör x 0,9$ = 18$

Toplam maliyet: 12$ + 18$ = 30$

Ofis malzemelerini satın almak 30$'a mal olur."
"Carla, iki çocuğu Anna ve Billy için ev işlerini paylaştırıyor. Her birinin aynı sayıda dakikayı çalışarak geçirmesini istiyor. Süpürme işi oda başına 3 dakika, bulaşık yıkama işi bulaşık başına 2 dakika ve çamaşır yıkama işi de çamaşır başına 9 dakika sürüyor. Anna 10 odanın süpürülmesini ve Billy iki çamaşır yıkarsa, Billy kaç bulaşık yıkamalıdır ki ev işlerinde aynı süreyi harcasınlar?","Anna'nın süpürme işi:
10 oda * 3 dakika/oda = 30 dakika

Billy'nin çamaşır yıkama işi:
2 çamaşır * 9 dakika/çamaşır = 18 dakika

Billy'nin yıkaması gereken bulaşıkları x olarak belirtelim. O zaman Billy'nin harcadığı toplam süre:
18 dakika + x * 2 dakika/bulaşık

Bu sürenin Anna'nın harcadığı süreye eşit olması gerektiğinden:
18 + 2x = 30

Bu denklemi çözersek:
2x = 12
x = 6

Billy 6 bulaşık yıkamalıdır."
"Kafenin 16 şefi ve 16 garsonu vardır. Eğer 6 şef ve 3 garson işten ayrılırsa, geriye kaç şef ve garson kalır?",10 şef ve 13 garson kalır.
48 kişi bir otobüse biniyor. İlk durakta 8 yolcu iniyor ve otobüsten inenlerin 5 katı kadar kişi otobüse biniyor. İkinci durakta 21 yolcu iniyor ve 3 kat daha az yolcu biniyor. İkinci duraktan sonra otobüse binen yolcu sayısı kaçtır?,"İlk durakta 8 yolcu inip 8 * 5 = 40 yolcu biniyor. Böylece otobüsteki yolcu sayısı 48 - 8 + 40 = 80 oluyor.

İkinci durakta 21 yolcu iniyor ve 21 / 3 = 7 yolcu biniyor.

Dolayısıyla ikinci duraktan sonra otobüse binen yolcu sayısı 7'dir."
"Sarah'nın iş yerinde çalışanların %60'ı kadın, geri kalanı ise erkektir. Erkeklerin %75'i üniversite mezunu, 8'i ise değil. Sarah'nın şirketinde kaç kadın çalışıyor?","Sarah'nın iş yerinde çalışanların %60'ı kadındır. Erkeklerin %25'i üniversite mezunu değildir ve bu grup 8 kişidir. Erkeklerin toplam sayısını bulmak için:

8 kişi %25 olduğuna göre, tüm erkek çalışan sayısı:
8 / 0.25 = 32

Toplam çalışan sayısı, erkek sayısını %40'a bölersek:
32 / 0.40 = 80

Kadın çalışan sayısı toplam çalışanların %60'ı olduğuna göre:
80 * 0.60 = 48

Sarah'nın iş yerinde 48 kadın çalışmaktadır."
"Travis haftada 2 kutu mısır gevreği tüketiyor.  Her bir kutunun fiyatı 3,00 dolarsa ve bütün bir yıl boyunca, 52 hafta, her hafta 2 kutu yerse, mısır gevreğine ne kadar harcar?","Travis yılda 52 hafta boyunca her hafta 2 kutu mısır gevreği tüketiyor. Bir kutu mısır gevreğinin fiyatı 3,00 dolar. Buna göre, yıllık maliyeti hesaplayalım:

52 hafta * 2 kutu/hafta * 3,00 dolar/kutu = 312 dolar

Travis, mısır gevreğine yılda 312 dolar harcar."
"Lefty bir maçta 20 sayı atıyor ve takım arkadaşı Righty, Lefty'nin yarısı kadar sayı atıyor.  Diğer takım arkadaşları Righty'nin 6 katı kadar sayı atıyor.  Takımdaki oyuncu başına atılan ortalama sayı nedir?","Lefty 20 sayı atıyor. Righty, Lefty'nin yarısı kadar sayı atıyorsa, Righty 10 sayı atar. Diğer oyuncular Righty'nin 6 katı kadar sayı atıyorsa, 60 sayı atarlar.

Toplam skor:
20 (Lefty) + 10 (Righty) + 60 (Diğer oyuncular) = 90 sayı.

Toplam oyuncu sayısı:
1 (Lefty) + 1 (Righty) + 1 (Diğer oyuncular) = 3 oyuncu.

Ortalama sayı:
90 / 3 = 30.

Takımdaki oyuncu başına atılan ortalama sayı 30'dur."
"Bir kitabın yazarı, kitaplarının kağıt kapaklı versiyonunun toplam satışının %6'sını ve ciltli versiyonunun toplam satışının %12'sini almıştır. Kağıt kapaklı versiyonun 32.000 kopyası her biri 0,20 dolardan ve ciltli versiyonun 15.000 kopyası her biri 0,40 dolardan satıldıysa, yazar ne kadar kazanmıştır?","Kağıt kapaklı satış kazancı:
32.000 kopya x 0,20 dolar = 6.400 dolar
Bu satıştan yazarın aldığı pay: %6
6.400 dolar x 0,06 = 384 dolar

Ciltli kitap satış kazancı:
15.000 kopya x 0,40 dolar = 6.000 dolar
Bu satıştan yazarın aldığı pay: %12
6.000 dolar x 0,12 = 720 dolar

Toplam kazanç:
384 dolar + 720 dolar = 1.104 dolar

Yazar toplamda 1.104 dolar kazanmıştır."
"James, doğum günü partisi için arka bahçesindeki çitlere krepon kâğıdından flamalar asmak istiyor. Arka bahçe çiti, uzun kenarı 20 fit ve kısa kenarı 15 fit olan bir dikdörtgendir. James'in kaç metre krepon kağıdı satın alması gerekir?","Arka bahçe çiti bir dikdörtgen olduğundan, çevresi şu şekilde hesaplanır:
\[ \text{Çevre} = 2 \times (\text{Uzun Kenar} + \text{Kısa Kenar}) \]

Bu durumda:
\[ \text{Çevre} = 2 \times (20 \text{ fit} + 15 \text{ fit}) \]
\[ \text{Çevre} = 2 \times 35 \text{ fit} \]
\[ \text{Çevre} = 70 \text{ fit} \]

1 fit, yaklaşık 0,3048 metreye eşittir. Bu nedenle, 70 fit'in metre cinsinden karşılığını bulmak için:
\[ 70 \text{ fit} \times 0,3048 \text{ m/fit} = 21,336 \text{ metre} \]

James'in yaklaşık 21,34 metre krepon kağıdı satın alması gerekir."
Bir adamın eskiden 39 ineği varmış ama geçen yıl 25 tanesi ölmüş ve adam 6 tanesini satmış. Bu yıl inek sayısı 24 artmış ve adam 43 inek daha satın almış. Arkadaşı ona 8 inek hediye etti. Adamın şu anda kaç ineği var?,Adamın şu anda 89 ineği var.
"Lisa'nın 36 şekeri vardır. Pazartesi ve Çarşamba günleri her gün için 2 şeker, haftanın diğer günleri ise her gün için 1 şeker yiyor. Lisa'nın tüm şekerleri yemesi kaç hafta sürer?","Lisa'nın bir haftada yediği şeker miktarını hesaplayalım:

- Pazartesi ve Çarşamba günleri: 2 şeker + 2 şeker = 4 şeker
- Haftanın diğer günleri (5 gün): 5 gün * 1 şeker = 5 şeker
- Toplam şeker: 4 şeker + 5 şeker = 9 şeker

Her haftada toplam 9 şeker yiyor.

Lisa'nın 36 şekeri olduğunu biliyoruz:
- 36 şeker / 9 şeker/hafta = 4 hafta

Lisa'nın tüm şekerleri yemesi 4 hafta sürer."
Bir sınıfta 45 çocuk var. Bunların üçte biri kızdır. Sınıfta kaç erkek çocuk var?,Sınıfta 45 çocuktan üçte biri yani 15'i kızdır. Bu durumda sınıfta 45 - 15 = 30 erkek çocuk vardır.
Mary bu hafta 15 galon yakıt kullandı. Geçen hafta %20 daha az kullanmıştı. İki hafta boyunca toplam ne kadar yakıt kullanmıştır?,"Mary bu hafta 15 galon yakıt kullandı. Geçen hafta bu miktarın %20 daha azını kullanmıştı.

15 galonun %20'si, 15 * 0.20 = 3 galondur.
Geçen hafta kullandığı miktar, 15 - 3 = 12 galondur.

İki hafta boyunca toplam yakıt tüketimi:
15 + 12 = 27 galon.

Dolayısıyla, Mary iki haftada toplam 27 galon yakıt kullanmıştır."
"Allyn bir golfçü. Başlangıç vuruşunda golf topuna vurmuş ve top deliğe doğru 180 yarda gitmiştir.  İkinci dönüşünde, topa yine doğrudan deliğe doğru vurdu ve top ilk dönüşündeki mesafenin yarısı kadar yol aldı, ancak top deliğin 20 yarda ötesine düştü.  Üçüncü vuruşunda topa green'e doğru vurdu ve top yuvarlanarak deliğe girdi.  Başlangıç tişörtünden deliğe kadar olan mesafe yarda cinsinden nedir?","Başlangıç tişörtünden deliğe kadar olan toplam mesafeyi hesaplamak için her vuruşun mesafesini inceleyelim:

1. vuruş: 180 yarda
2. vuruş: 180 / 2 = 90 yarda, fakat top deliğin 20 yarda ötesine düştü. Yani: 90 - 20 = 70 yarda.

Şimdi toplam mesafe:
Başlangıç noktasından 180 yarda, ikinci vuruşta 70 yarda daha gidildi ve toplam mesafe 180 + 70 = 250 yarda olur.

Başlangıç noktasından deliğe kadar olan mesafe 250 yardadır."
"Albert beden eğitimi dersinde 99 metre koşmak zorunda. Pistin çevresi 9 metre. Şimdiden pistin etrafında 6 kez koştu. Bitirdiğinde, pist etrafında daha kaç tam tur atmış olacak?","Albert toplamda 99 metre koşmak zorunda ve şu ana kadar pistin etrafında 6 kez, yani 6 x 9 = 54 metre koşmuş durumda. Kalan mesafeyi bulmak için 99 - 54 = 45 metre. Pistin çevresi 9 metre olduğuna göre, 45 metreyi kat etmek için 45 / 9 = 5 tam tur daha atması gerekecek.

Sonuç olarak, Albert bitirdiğinde pist etrafında 5 tam tur daha atmış olacak."
"Camden, Justin'den 10 köpek daha fazla köpeği olan Rico'nun 3/4 katı kadar köpek satın aldı. Justin'in 14 köpeği varsa, Camden'ın köpeklerinin sahip olduğu toplam bacak sayısı kaçtır?","Justin'in 14 köpeği olduğuna göre, Rico'nun 14 + 10 = 24 köpeği vardır. Camden 24 köpeğin 3/4 katı kadar köpek satın almıştır.

24 x 3/4 = 18 köpek

Her köpeğin 4 bacağı olduğundan, Camden'ın köpeklerinin toplam bacak sayısı:
18 x 4 = 72 bacak"
"Shania kendi elbisesini tasarlıyor ve elbiseyi orijinal uzunluğunun %50'si kadar uzatarak daha uzun bir elbise yapmaya karar veriyor. Ayrıca elbisenin alt kısmına dantel bir süsleme ile 20 cm ekliyor. Nihai tasarım 140 cm uzunluğundaysa, elbise orijinal tasarımında santimetre cinsinden ne kadar uzunluktaydı?","Elbisenin nihai uzunluğu 140 cm olduğuna göre ve dantel süslemesi ile 20 cm eklediğine göre, süslemesiz uzunluk:

140 cm - 20 cm = 120 cm

Bu uzunluk, orijinal uzunluğun %50 uzatılmış hali olduğundan orijinal uzunluk O olsun. Bu durumda:

1.5O = 120 cm

Buradan, orijinal uzunluk:

O = 120 cm / 1.5 = 80 cm

Dolayısıyla, elbisenin orijinal tasarımındaki uzunluğu 80 cm idi."
"Bir insan sayma istasyonunda, ilk gün sayılan insan sayısı ikinci gün sayılan toplam sayının iki katıdır. İkinci gün 500 kişi sayıldıysa, iki günde toplam kaç kişi sayılmıştır?","İlk gün sayılan insan sayısı, ikinci gün sayılan toplam sayının iki katı olduğuna göre, ilk gün 1000 kişi sayılmıştır (2 * 500). İki günün toplamı ise 1000 + 500 = 1500 kişidir."
Toby'nin iki dikdörtgen bezi var. İlki 4 inç genişliğinde ve 5 inç boyunda. İkincisi ise 3 inç genişliğinde ve 6 inç yüksekliğinde. Birincinin alanı ikinciye kıyasla kaç inç kare daha fazladır?,"Birinci bezin alanı:
4 inç * 5 inç = 20 inç kare

İkinci bezin alanı:
3 inç * 6 inç = 18 inç kare

Fark:
20 inç kare - 18 inç kare = 2 inç kare

Birincinin alanı ikinciden 2 inç kare daha fazladır."
John'un her biri 3 yatak odalı 2 evi var.  Her yatak odasında 2'şer pencere vardır.  Her evde yatak odalarına bağlı olmayan 4 pencere daha vardır.  Evler arasında toplam kaç pencere vardır?,"Her evde 3 yatak odası ve her yatak odasında 2 pencere olduğuna göre:

3 yatak odası * 2 pencere/yatak odası = 6 pencere/yatak odasındaki pencereler.

Her evde yatak odalarına bağlı olmayan 4 pencere daha vardır. O halde, bir evdeki toplam pencere sayısı:

6 pencere (yatak odaları) + 4 pencere = 10 pencere/ev.

John'un 2 evi olduğuna göre:

2 ev * 10 pencere/ev = 20 pencere.

Bu durumda, evler arasında toplam 20 pencere vardır."
"Arizona ve New York arasındaki mesafe uçakla yaklaşık 2,000 mildir. Birisi uçmak yerine araba kullanmaya karar verirse, 2 farklı ABD eyaleti arasındaki mesafe %40 artar. Missouri, Arizona ve New York'un tam ortasındadır. Birisi arabayla gitmeye karar verirse Missouri New York'tan ne kadar uzaktadır?","Missouri, Arizona ve New York'un tam ortasında olduğuna göre, Arizona ile New York arasındaki mesafenin yarısını alarak hesaplama yapabiliriz.

Uçakla Arizona ile New York arasındaki mesafe 2,000 mil. Araçla bu mesafe %40 artar ve 2,800 mil olur. Tam ortadaki konum, bu mesafenin yarısı olacaktır.

2,800 milin yarısı 1,400 mildir. Yani Missouri, New York'tan 1,400 mil uzaktadır."
"Ali ve Ernie daireler yapmak için kutuları dizdiler. Ali her bir daire için 8 kutu, Ernie ise 10 kutu kullanmıştır. Başlangıçta 80 kutuları varsa ve Ali 5 daire yapıyorsa, Ernie kaç daire yapabilir?","Ali 5 daire yapmak için 8 x 5 = 40 kutu kullanır. Başlangıçta toplam 80 kutu vardı, bu yüzden 80 - 40 = 40 kutu kalır. Ernie, her bir daire için 10 kutu kullanıyorsa, kalan 40 kutu ile 40 / 10 = 4 daire yapabilir."
"Bertha tenis oynuyor. Her on oyunda bir, tenis toplarından biri aşınıyor. Her beş oyunda bir topunu kaybediyor. Her dört oyunda bir, üç topluk bir kutu satın alıyor. İki topla başladı ve birini partnerine verdi. Yirmi oyundan sonra, kaç tane tenis topu var?",Yirmi oyundan sonra Bertha'nın 3 tane tenis topu var.
Jeffrey'nin 12 tavuğu olan bir kümes hayvanı çiftliği var. Her 3 tavuk için 1 horoz vardır. Her tavuğun 5 civcivi var. Toplam kaç tavuk vardır?,Toplam 12 tavuk vardır.
James korkunç bir kazada elini yaktı.  Deri nakli yapılabilecek kadar iyileşmesi 4 hafta sürmüş.  Deri naklinden sonra iyileşmesi bundan %50 daha uzun sürüyor.  Her şeyi atlatması ne kadar sürdü?,"James'in iyileşmesi 6 hafta sürdü.

Toplamda:
İlk iyileşme süresi: 4 hafta
Deri nakli sonrası iyileşme: 4 hafta + %50 = 6 hafta

Toplam süre:
4 hafta + 6 hafta = 10 hafta

James'in iyileşmesi toplamda 10 hafta sürdü."
Roger bu sabah bisikletini 2 mil sürdü ve akşam da bunun 5 katını yaptı.  Roger bisikletini kaç mil sürmüştür?,"Roger bu sabah 2 mil sürdü ve akşam da bunun 5 katını, yani 10 mil sürdü. Toplamda 2 + 10 = 12 mil sürmüştür."
John günde 8 saat boyunca 75 watt'lık bir elektrikli vantilatör kullanmaktadır. Elektrikli vantilatörü kullanmak için ayda (30 gün) ne kadar kWh elektrik enerjisi tüketmektedir?,"John'un vantilatörü kullanmasıyla ayda tükettiği kWh elektrik enerjisini bulmak için şu adımları izleriz:

1. Günlük enerji tüketimi (Wh) = Güç (W) × Kullanım süresi (saat)
   = 75 W × 8 saat
   = 600 Wh

2. Aylık enerji tüketimi (Wh) = Günlük tüketim (Wh) × 30 gün
   = 600 Wh × 30
   = 18,000 Wh

3. Wh'yı kWh'ya çevirmek için 1,000'e böleriz:
   Aylık enerji tüketimi (kWh) = 18,000 Wh ÷ 1,000
   = 18 kWh

John ayda 18 kWh elektrik enerjisi tüketmektedir."
"Lauryn evlerindeki tüm eski elektronik eşyaları topladıktan sonra bunları eBay'de satarak 2000 dolar kazandı. Arkadaşı Aurelia da kullanılmış elektronik eşyalarını sattıktan sonra eBay'de sattığının %70'ini kazandıysa, iki arkadaşın eBay'de kazandığı toplam parayı hesaplayın.","Toplam kazancı hesaplamak için önce Aurelia'nın ne kadar kazandığını bulmamız gerekiyor.

Lauryn: 2000 dolar kazandı.
Aurelia: Kazancının %70'ini aldı.

Bu durumda, eğer Aurelia'nın sattığı ürünlerin toplam değeri X dolar ise, Aurelia'nın kazancı 0.7X olacaktır.

İki arkadaşın eBay'de kazandığı toplam para:
Lauryn: 2000 dolar
Aurelia: 0.7X dolar

Toplam para: 2000 + 0.7X

X'in değeri verilmediği için bu ifadenin daha fazla sadeleştirilmesi mümkün değil. Bu yüzden, iki arkadaşın eBay'de kazandığı toplam para 2000 + 0.7X dolardır."
"Jo yüz maskeleri yapıyor. 2 yarda malzeme ile 4 küçük maske ve 2,25 yarda malzeme ile 3 büyük maske yapabiliyor. Sınıfı için 20 küçük ve 8 büyük maske yapmak için ne kadar malzemeye ihtiyacı vardır?","Jo, 20 küçük ve 8 büyük maske yapmak için toplam 15 yarda malzemeye ihtiyaç duyar. İşte hesaplama:

- 20 küçük maske: (20 küçük maske / 4 küçük maske) * 2 yarda = 10 yarda
- 8 büyük maske: (8 büyük maske / 3 büyük maske) * 2,25 yarda = 6 yarda

Toplam: 10 yarda + 6 yarda = 16 yarda"
"Alfred, Noel alışverişi için 12 ay boyunca 1.000,00 $ biriktirmek istiyor.  Bu yılki hedefine ulaşmak için geçen yılki tatilden kalan 100,00 $'ı var.  Alfred'in 12 ay içinde hedefine ulaşabilmesi için şimdi her ay ne kadar para biriktirmesi gerekiyor?","Alfred'in 12 ayda 1.000,00 $ hedefine ulaşması için kalan 900,00 $'ı biriktirmesi gerekiyor. 900,00 $'ı 12 aya bölersek, Alfred'in her ay 75,00 $ biriktirmesi gerekecek."
